,Name,Album,Artist
0,Aaj Ki Raat,Don,"Alisha Chinai, Mahalakshmi Iyer and Sonu Nigam"
1,Bhaag DK Bose,Delhi Belly,Ram Sampath and Sona Mohapatra
2,Bolo Na,Chittagong,Shankar Mahadevan
3,Chak De India,Chak De India,Sukhwinder Singh
4,Challa,Jab Tak Hai Jaan,Rabbi Shergill
5,Choli Ke Peeche,Khal Nayak,Alka Yagnik and Ila Arun
6,Deewana Kar Raha Hai,Raaz 3,Javed Ali
7,Deva Shree Ganesha,Agneepath,Ajay Gogavale
8,Dhan Te Nan,Kaminey,Sukhwinder Singh
9,Jai Ho,Slumdog Millionaire,Sukhwinder Singh
10,Jo Bhi Main,Rockstar,Mohit Chauhan
11,Kabhi Kabhi Mere Dil Mein,Kabhi Kabhie,Mukesh
12,Khalbali,Rang De Basanti,"A.R. Rahman, Mohammed Aslam and Nacim"
13,Koi Kahe Kehta Rahe,Dil Chahta Hai,Shankar Mahadevan and Shaan
14,Main Aisa Kyun Hoon,Lakshya,Shaan
15,Mere Khwabon Mein Tu,Gupt,Alka Yagnik
16,Sadda Haq,Rockstar,Mohit Chauhan
17,Yeh Mera Dil,Don,Asha Bhosle
18,Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan
19,Abhi Mujh Mein Kahin,Agneepath,Sonu Nigam
20,Bhaag Milkha Bhaag,Bhaag Milkha Bhaag,Siddharth Mahadevan
21,Chakna Chakna,Namastey London,Himesh Reshammiya
22,Dil Mein Baji Guitar,Apna Sapna Money Money,Amit Kumar
23,Haan Tu Hain,Jannat,KK
24,Hey Shona,Ta Ra Rum Pum,Shaan and Sunidhi Chauhan
25,Jaane Kya Chahe Man,Pyaar Ke Side Effects,Zubeen Garg
26,Jashn-E-Bahaaraa,Jodhaa Akbar,Javed Ali
27,Khuda Jaane,Bachna Ae Haseeno,KK and Shilpa Rao
28,Tumhi Dekho Na,Kabhi Alvida Naa Kehna,Alka Yagnik and Sonu Nigam
