,Name,Album,Artist
0,Aaya Re,Murder 2,Clinton Cerejo
1,Tujh Mein Rab Dikhta Hai,Rab Ne Bana Di Jodi,Roop Kumar Rathod
2,Kabhi Khushi Kabhie Gham (Sad Version),Kabhi Khushi Kabhie Gham,Sonu Nigam
3,Dard-e-Disco,Om Shanti Om,Sukhwinder Singh
4,Tu Hi Re,Bombay,Hariharan and Kavita Krishnamurthy
5,Kabhi Alvida Naa Kehna (Sad Version),Kabhi Alvida Naa Kehna,Sonu Nigam
6,Kaise Mujhe Tum Mil Gayi,Ghajini,Benny Dayal and Shreya Ghoshal
7,Agar Tum Mil Jao,Zeher,Shreya Ghoshal
8,Saaiyaan,Gunday,Shahid Mallya
9,Yeh Kasoor,Jism 2,Sonu Kakkar
10,Tere Bina,Guru,A.R. Rahman and Chinmayi
11,Tere Bin,Bas Ek Pal,Atif Aslam
12,Tu Bhoola Jise,Airlift,K.K.
13,Tum Se Hi,Jab We Met,Mohit Chauhan
14,Kyun,Barfi!,Papon and Sunidhi Chauhan
15,Tadap Tadap Ke,Hum Dil De Chuke Sanam,KK and Dominique Cerejo
16,Tere Naam (Sad Version),Tere Naam,Udit Narayan
17,Luka Chuppi (Sad Version),Rang De Basanti,A.R. Rahman and Lata Mangeshkar
18,Kya Hua Tera Wada,Hum Kisise Kum Naheen,Mohammed Rafi
19,Mere Rashke Qamar,Baadshaho,Nusrat Fateh Ali Khan and Rahat Fateh Ali Khan
20,Haal-E-Dil (Male),Murder 2,Harshit Saxena
21,Kyon Ki Itna Pyar Tumko (Sad Version),Kyon Ki,Alka Yagnik
22,Kahin To Hogi Woh,Jaane Tu... Ya Jaane Na,Rashid Ali
23,Tum Itna Jo Muskura Rahe Ho,Arth,Jagjit Singh
24,Tera Ban Jaunga (Reprise),Kabir Singh,Akhil Sachdeva
25,Aahista Aahista,Bachna Ae Haseeno,Lucky Ali and Shreya Ghoshal
26,Ae Ajnabi,Dil Se,Udit Narayan and Mahalakshmi Iyer
27,Jiyein Kyun,Dum Maaro Dum,Papon
28,Zinda,Bhaag Milkha Bhaag,Siddharth Mahadevan
29,Laila (Unplugged),Qurbani,Kunal Ganjawala
