,Name,Album,Artist
0,Aankh Marey,Simmba (2018),"Neha Kakkar, Mika Singh"
1,London Thumakda,Queen (2014),"Neha Kakkar, Sonu Kakkar, Labh Janjua"
2,Balam Pichkari,Yeh Jawaani Hai Deewani (2013),"Vishal Dadlani, Shalmali Kholgade"
3,Dil Dhadakne Do,Dil Dhadakne Do (2015),"Priyanka Chopra, Farhan Akhtar"
4,Disco Deewane,Student of the Year (2012),"Benny Dayal, Sunidhi Chauhan"
5,Duniya Re Duniya,Naseeb (1981),Mohammed Rafi
6,Jai Jai Shiv Shankar,Aap Ki Kasam (1974),"Lata Mangeshkar, Kishore Kumar"
7,Kala Chashma,Baar Baar Dekho (2016),"Amar Arshi, Neha Kakkar, Badshah"
8,Kajra Re,Bunty Aur Babli (2005),"Alisha Chinai, Shankar Mahadevan, Javed Ali"
9,Mauja Hi Mauja,Jab We Met (2007),Mika Singh
10,Morni Banke,Badhaai Ho (2018),"Guru Randhawa, Neha Kakkar"
11,Nachde Ne Saare,Baar Baar Dekho (2016),"Jasleen Royal, Harshdeep Kaur, Siddharth Mahadevan"
12,Radha,Student of the Year (2012),"Shreya Ghoshal, Vishal Dadlani"
13,Chaiyya Chaiyya,Dil Se (1998),"Sukhwinder Singh, Sapna Awasthi"
14,Bole Chudiyan,Kabhi Khushi Kabhie Gham (2001),"Udit Narayan, Alka Yagnik, Sonu Nigam, Kavita Krishnamurthy, Amit Kumar"
15,Bhangra Ta Sajda,Veere Di Wedding (2018),"Neha Kakkar, Romy, Shashwat Sachdev"
16,Chogada,Loveyatri (2018),"Darshan Raval, Asees Kaur"
17,Dilbar,Satyameva Jayate (2018),"Neha Kakkar, Dhvani Bhanushali, Ikka"
18,Ghar More Pardesiya,Kalank (2019),"Shreya Ghoshal, Vaishali Mhade"
19,Happy Birthday,ABCD 2 (2015),"Sachin Sanghvi, Jigar Saraiya, Varun Dhawan, D. Soldierz"
20,Hawa Hawa,Mubarakan (2017),"Mika Singh, Prakriti Kakar"
21,Jumma Chumma De De,Hum (1991),"Sudesh Bhosle, Kavita Krishnamurthy"
22,Koi Mil Gaya,Kuch Kuch Hota Hai (1998),"Alka Yagnik, Kavita Krishnamurthy, Udit Narayan"
23,Main Hoon Na,Main Hoon Na (2004),"Sonu Nigam, Shreya Ghoshal"
24,Sadi Gali,Tanu Weds Manu (2011),"Lehmber Hussainpuri, Krsna"
25,Badtameez Dil,Yeh Jawaani Hai Deewani (2013),"Benny Dayal, Shefali Alvares"
26,Tum Hi Ho Bandhu,Cocktail (2012),"Neeraj Shridhar, Kavita Seth"
27,Tune Maari Entriyaan,Gunday (2014),"Bappi Lahiri, KK, Neeti Mohan"
28,Main Tera Boyfriend,Raabta (2017),"Arijit Singh, Neha Kakkar, Meet Bros"
29,Sweety Tera Drama,Bareilly Ki Barfi (2017),"Dev Negi, Pawni Pandey, Shraddha Pandit"
30,Dheere Dheere,Aashiqui (1990),"Anuradha Paudwal, Kumar Sanu"
31,Mere Haath Mein,Fanaa (2006),"Sonu Nigam, Sunidhi Chauhan, Aamir Khan, Kajol"
32,Mehbooba Mehbooba,Sholay (1975),"R.D. Burman, Rahul Dev Burman"
33,Dil Chori,Sonu Ke Titu Ki Sweety (2018),"Yo Yo Honey Singh, Simar Kaur, Ishers"
34,Tamma Tamma Again,Badrinath Ki Dulhania (2017),"Badshah, Bappi Lahiri, Anuradha Paudwal"
35,It's the Time to Disco,Kal Ho Naa Ho (2003),"KK, Vasundhara Das, Shaan, Loy Mendonsa"
36,Zingaat,Dhadak (2018),"Ajay-Atul, Atul Gogavale"
