,Name,Album,Artist
0,Kal Ho Naa Ho,Kal Ho Naa Ho (2003),"Sonu Nigam, Shankar Mahadevan, Vasundhara Das"
1,Tum Se Hi,Jab We Met (2007),Mohit Chauhan
2,Mere Bina Tu,Phata Poster Nikla Hero (2013),Rahat Fateh Ali Khan
3,Agar Tum Saath Ho,Tamasha (2015),"Alka Yagnik, Arijit Singh"
4,Kuch Kuch Hota Hai,Kuch Kuch Hota Hai (1998),"Alka Yagnik, Udit Narayan, Kumar Sanu"
5,Main Yahaan Hoon,Veer-Zaara (2004),Udit Narayan
6,Kabhi Kabhi Mere Dil Mein,Kabhi Kabhie (1976),"Mukesh, Lata Mangeshkar"
7,Kho Gaye Hum Kahan,Baar Baar Dekho (2016),"Jasleen Royal, Prateek Kuhad"
8,Dil Diyan Gallan,Tiger Zinda Hai (2017),Atif Aslam
9,Jeene Ke Hain Chaar Din,Mujhse Shaadi Karogi (2004),"Sonu Nigam, Sunidhi Chauhan"
10,O Humdum Suniyo Re,Saathiya (2002),"K.K., Shaan, Pravin Mani, Vaishali Samant"
11,Humsafar,Badrinath Ki Dulhania (2017),"Akhil Sachdeva, Mansheel Gujral"
12,Tere Bina,Guru (2007),"A.R. Rahman, Chinmayi Sripada"
13,Kahin To Hogi Woh,Jaane Tu... Ya Jaane Na (2008),"Rashid Ali, Vasundhara Das"
14,Pehli Nazar Mein,Race (2008),Atif Aslam
15,Tera Ban Jaunga,Kabir Singh (2019),"Akhil Sachdeva, Tulsi Kumar"
16,Tu Hi Hai,Dear Zindagi (2016),Arijit Singh
17,Khairiyat,Chhichhore (2019),Arijit Singh
18,Soch Na Sake,Airlift (2016),"Amaal Mallik, Arijit Singh"
19,Zara Sa,Jannat (2008),KK
20,Bol Do Na Zara,Azhar (2016),Armaan Malik
21,Yeh Dooriyan,Love Aaj Kal (2009),Mohit Chauhan
22,Kho Gaye Hum Kahan Part 2,Baar Baar Dekho (2016),"Jasleen Royal, Prateek Kuhad"
23,Aye Khuda,Murder 2 (2011),"Kshitij Tarey, Saim Bhat, Mithoon"
24,Tum Hi Ho,Aashiqui 2 (2013),Arijit Singh
25,Tu Jo Mila,Bajrangi Bhaijaan (2015),K.K.
26,Phir Le Aya Dil (Redux),Barfi! (2012),Rekha Bhardwaj
27,Arijit Singh Medley Part 2,DJ Paroma (2017),Arijit Singh
28,Hamari Adhuri Kahani,Hamari Adhuri Kahani (2015),Arijit Singh
29,Kaise Mujhe Tum Mil Gayi,Ghajini (2008),"Benny Dayal, Shreya Ghoshal"
30,Raabta,Agent Vinod (2012),"Arijit Singh, Hamsika Iyer"
31,Kabira (Encore),Yeh Jawaani Hai Deewani (2013),"Arijit Singh, Harshdeep Kaur"
32,Dariya,Baar Baar Dekho (2016),Arko
33,Yeh Fitoor Mera,Fitoor (2016),Arijit Singh
34,Roke Na Ruke Naina,Badrinath Ki Dulhania (2017),Arijit Singh
35,Tere Bina Zindagi Se,Aandhi (1975),"Lata Mangeshkar, Kishore Kumar"
