,Name,Album,Artist
0,Tujhse Naraz Nahi Zindagi,Masoom (1983),Anup Ghoshal
1,Tadap Tadap Ke,Hum Dil De Chuke Sanam (1999),"Kavita Krishnamurthy, KK"
2,Kal Ho Na Ho,Kal Ho Na Ho (2003),"Sonu Nigam, Alka Yagnik"
3,Tere Bina Zindagi Se,Aandhi (1975),"Lata Mangeshkar, Kishore Kumar"
4,Yeh Dooriyan,Love Aaj Kal (2009),Mohit Chauhan
5,Teri Meri,Bodyguard (2011),"Rahat Fateh Ali Khan, Shreya Ghoshal"
6,Kabira,Yeh Jawaani Hai Deewani (2013),"Rekha Bhardwaj, Tochi Raina"
7,Channa Mereya,Ae Dil Hai Mushkil (2016),Arijit Singh
8,Kaise Mujhe Tum Mil Gayi,Ghajini (2008),"Benny Dayal, Shreya Ghoshal"
9,Pachtaoge,Jaani Ve (2019),Arijit Singh
10,Aye Zindagi Gale Laga Le,Sadma (1983),"Suresh Wadkar, Kavita Krishnamurthy"
11,Jeeyein Kyun,Dum Maaro Dum (2011),Papon
12,Tum Hi Ho,Aashiqui 2 (2013),Arijit Singh
13,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil (2016),Arijit Singh
14,Hamari Adhuri Kahani,Hamari Adhuri Kahani (2015),Arijit Singh
15,Phir Bhi Tumko Chaahunga,Half Girlfriend (2017),"Arijit Singh, Shashaa Tirupati"
16,Teri Yaadein,Love Story (2011),Atif Aslam
17,Kal Ho Naa Ho,Kal Ho Naa Ho (2003),Sonu Nigam
18,Sau Dard,Jaan-E-Mann (2006),"Sonu Nigam, Suzan"
19,Kabhi Alvida Na Kehna,Kabhi Alvida Na Kehna (2006),"Sonu Nigam, Alka Yagnik"
20,Tu Hi Re,Bombay (1995),"Hariharan, Kavita Krishnamurthy"
21,Aye Zindagi Gale Laga Le,Sadma (1983),"Suresh Wadkar, Kavita Krishnamurthy"
22,Jeeyein Kyun,Dum Maaro Dum (2011),Papon
23,Tum Hi Ho,Aashiqui 2 (2013),Arijit Singh
24,Ae Ajnabi,Dil Se (1998),"Udit Narayan, Mahalaxmi Iyer"
25,Dard Dilo Ke,The Xpose (2014),Mohammed Irfan
26,Tum Itna Jo Muskura Rahe Ho,Arth (1982),Jagjit Singh
27,Yeh Kya Hua,Amar Prem (1972),Kishore Kumar
28,Ishq Bina,Taal (1999),"Anuradha Sriram, Sonu Nigam"
29,Jaane Kya Baat Hai,Sunny (1984),Lata Mangeshkar
30,O Saathi Re,Muqaddar Ka Sikandar (1978),Kishore Kumar
31,Zindagi Ke Safar Mein,Aap Ki Kasam (1974),Kishore Kumar
32,Tu Jo Mila,Bajrangi Bhaijaan (2015),KK
33,Tanha Dil,Shaan (2005),Shaan
34,Beete Lamhe,The Train (2007),K.K.
35,Bhula Dena,Aashiqui 2 (2013),Mustafa Zahid
36,Dil Ke Armaan Aansuon Mein Beh Gaye,Nikaah (1982),Salma Agha
