,Name,Album,Artist
0,Tune Maari Entriyaan,Gunday,"Bappi Lahiri, KK, Neeti Mohan, and Vishal Dadlani"
1,Tattad Tattad,Goliyon Ki Raasleela Ram-Leela,Aditya Narayan
2,Kamariya,Stree,"Aastha Gill, Sachin Sanghvi, Jigar Saraiya, and Divya Kumar"
3,Aankh Marey,Simmba,Mika Singh and Neha Kakkar
4,Munna Badnaam Hua,Dabangg 3,"Badshah, Kamaal Khan, and Mamta Sharma"
5,Ghungroo,War,Arijit Singh and Shilpa Rao
6,Sheila Ki Jawani,Tees Maar Khan,Sunidhi Chauhan and Vishal Dadlani
7,Lungi Dance,Chennai Express,Yo Yo Honey Singh
8,Chikni Chameli,Agneepath,Shreya Ghoshal
9,Malhari,Bajirao Mastani,Vishal Dadlani
10,Badtameez Dil,Yeh Jawaani Hai Deewani,Benny Dayal and Shefali Alvares
11,Ghagra,Yeh Jawaani Hai Deewani,Vishal Dadlani and Rekha Bhardwaj
12,Tunak Tunak Tun,Daler Mehndi,Daler Mehndi
13,Dhoom Machale,Dhoom,Sunidhi Chauhan
14,Hookah Bar,Khiladi 786,Himesh Reshammiya and Vineet Singh
15,Aao Raja,Gabbar is Back,Neha Kakkar and Yo Yo Honey Singh
16,Dilbar,Satyameva Jayate,"Neha Kakkar, Dhvani Bhanushali, and Ikka Singh"
17,Balam Pichkari,Yeh Jawaani Hai Deewani,Vishal Dadlani and Shalmali Kholgade
18,Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva and Tulsi Kumar
19,Tumhi Ho Bandhu,Cocktail,Neeraj Shridhar and Kavita Seth
20,Dus Bahane 2.0,Baaghi 3,KK and Shaan
21,Kala Chashma,Baar Baar Dekho,"Amar Arshi, Badshah, and Neha Kakkar"
22,Dil Chori,Sonu Ke Titu Ki Sweety,"Yo Yo Honey Singh, Simar Kaur, and Ishers"
23,Sauda Khara Khara,Good Newwz,"Diljit Dosanjh, Sukhbir, and Dhvani Bhanushali"
24,Aankh Maarey (Remix),Simmba,"Neha Kakkar, Mika Singh, and Kumar Sanu"
25,Gur Naal Ishq Mitha,Ek Ladki Ko Dekha Toh Aisa Laga,Navraj Hans and Harshdeep Kaur
26,London Thumakda,Queen,"Labh Janjua, Sonu Kakkar, and Neha Kakkar"
27,Bekhayali,Kabir Singh,Sachet Tandon
28,Gandi Baat,R... Rajkumar,Mika Singh and Kalpana Patowary
29,Befikra,Befikra,Meet Bros and Aditi Singh Sharma
